time,open,high,low,close,DP,EMA,EMA,EMA,Volume
1782976200,25036.8,25056.8,25025.8,25035.5,25038,25063.78072290396,25073.825489338607,25050.303771199742,186
1782976500,25035.1,25076.3,25031.8,25075.5,25038,25063.89733262631,25073.891156423368,25052.703412037863,204
1782976800,25076,25107.4,25075.7,25103.3,25038,25064.28939896834,25075.044444406765,25057.522134700925,298
1782977100,25103.5,25108.8,25081.7,25090.4,25038,25064.54920594378,25075.64662305748,25060.653359967502,264
1782977400,25090.9,25096,25073.7,25085.5,25038,25064.75767155628,25076.033029996404,25063.019706637264,161
1782977700,25086,25114.8,25083.9,25111.5,25038,25065.222769351738,25077.423891565173,25067.636877433713,149
1782978000,25110,25143.1,25108,25133.4,25038,25065.9011497562,25079.61903307242,25073.900031963836,253
1782978300,25135.2,25140,25117,25123.1,25122,25066.470292544695,25081.324169030366,25078.585743205374,209
1782978600,25123.2,25129.1,25091.5,25092.8,25122,25066.732279683554,25081.77420161741,25079.93948194772,209
1782978900,25093.3,25113.8,25089.9,25111.8,25122,25067.18071471158,25082.951683906922,25082.97381700032,96
1782979200,25112.7,25119.7,25096.2,25103.8,25122,25067.545085709473,25083.76926493018,25084.957263000288,147
1782979500,25104.1,25127,25100,25121.7,25122,25068.083940578035,25085.25674473684,25088.456571285973,178
1782979800,25121.4,25134.5,25111.7,25113.2,25122,25068.532856592185,25086.35255866873,25090.813088306357,130
1782980100,25112.9,25120.8,25101,25104.1,25122,25068.88675851664,25087.04853676015,25092.078508467657,155
1782980400,25103.8,25120.6,25096.4,25107,25122,25069.265994750305,25087.830947083283,25093.49960289931,137
1782980700,25107.3,25126.1,25104.9,25107.7,25122,25069.64842266324,25088.610125629035,25094.852021670802,111
1782981000,25108.9,25135.7,25100.2,25134.2,25122,25070.290726915344,25090.39796383966,25098.599448178345,166
1782981300,25134.4,25164.4,25130.9,25145,25122,25071.03410276693,25092.539220159673,25103.018548351836,249
1782981600,25142.7,25148.2,25132.3,25133.2,25122,25071.652668908555,25094.13376054557,25105.89297231833,114
1782981900,25133.3,25165.7,25132.6,25164.7,25158,25072.578512999018,25096.901064053585,25111.493641621346,142
1782982200,25163.8,25168.2,25146.8,25148.4,25158,25073.332955655744,25098.92063016913,25115.008532895503,159
1782982500,25148.9,25161.6,25147,25151.2,25158,25074.10775211688,25100.970801535048,25118.455339286407,147
1782982800,25152.3,25160.2,25135.8,25155.8,25158,25074.920610304773,25103.120966180733,25122.01197364008,163
1782983100,25156.3,25157.9,25134,25153.3,25158,25075.7005047296,25105.08877142855,25124.99178567436,126
1782983400,25152.3,25163.9,25147.3,25162.2,25158,25076.56119622483,25107.32842745096,25128.535425133945,175
1782983700,25162.6,25188.4,25152.1,25181.7,25158,25077.607353476324,25110.244959707787,25133.59871797833,211
1782984000,25180.7,25194.6,25177.5,25178,25158,25078.60628528253,25112.902020111404,25137.827411504204,149
