time,open,high,low,close
1779447300,24784.63,24784.63,24772.48,24779.53
1779447600,24779.35,24787.74,24778.21,24785.76
1779447900,24786.04,24793.62,24775.48,24777.04
1779448200,24776.98,24776.98,24753.51,24757.72
1779448500,24757.85,24758.27,24747.6,24755.26
1779448800,24755.2,24757.11,24747.09,24748.66
1779449100,24748.2,24758.84,24744.81,24755.9
1779449400,24756.03,24768.15,24754.89,24761.19
1779449700,24761.47,24797.65,24761.34,24797.65
1779450000,24797.84,24812.88,24792.14,24811.37
1779450300,24810.86,24849.12,24808.58,24818.36
1779450600,24817.68,24829.63,24816.44,24821.55
1779450900,24818.92,24819.7,24805.68,24805.77
1779451200,24805.96,24828.7,24805.96,24823.72
1779451500,24823.31,24825.77,24816.65,24816.65
1779451800,24817.0,24943.75,24815.15,24902.15
1779452100,24905.11,24918.05,24865.65,24906.73
1779452400,24905.15,24905.15,24864.53,24879.53
1779452700,24879.66,24885.93,24869.47,24870.88
1779453000,24871.1,24875.18,24869.36,24870.51
1779453300,24870.0,24874.65,24855.36,24874.32
1779453600,24873.71,24874.18,24842.86,24858.18
1779453900,24858.04,24872.61,24856.88,24871.19
1779454200,24872.09,24892.06,24860.42,24890.38
1779454500,24890.19,24920.02,24885.65,24913.32
1779454800,24914.29,24922.2,24887.14,24892.94
1779455100,24893.13,24935.8,24891.07,24932.19
1779455400,24931.32,24940.73,24919.48,24922.07
1779455700,24922.43,24939.77,24916.57,24923.91
1779456000,24924.13,24927.02,24912.08,24912.08
1779456300,24912.3,24921.75,24904.08,24904.08
1779456600,24903.72,24921.44,24882.79,24899.79
1779456900,24899.73,24912.4,24897.53,24909.6
1779457200,24909.95,24917.73,24872.66,24915.44
1779457500,24915.87,24933.16,24893.24,24896.43
1779457800,24896.49,24902.51,24875.85,24899.99
1779458100,24900.53,24900.53,24884.14,24888.25
1779458400,24888.76,24888.76,24835.99,24848.19
1779458700,24847.97,24857.51,24838.0,24855.93
1779459000,24855.82,24866.48,24836.91,24845.19
1779459300,24845.45,24857.06,24844.06,24853.83
1779459600,24853.24,24859.53,24835.02,24841.64
1779459900,24842.16,24860.11,24836.56,24860.01
1779460200,24859.63,24864.39,24852.43,24855.15
1779460500,24854.77,24865.74,24854.7,24858.03
1779460800,24857.58,24884.28,24856.79,24883.71
1779461100,24883.82,24901.39,24882.7,24893.01
1779461400,24892.77,24910.3,24889.8,24909.84
1779461700,24909.35,24915.96,24906.43,24909.14
1779462000,24909.08,24920.6,24905.25,24915.87
1779462300,24915.92,24920.8,24902.26,24903.88
1779462600,24903.07,24903.49,24894.35,24901.01
1779462900,24901.32,24913.97,24901.32,24913.53
1779463200,24913.83,24935.03,24913.83,24918.86
1779463500,24918.72,24928.65,24914.94,24925.71
1779692400,25181.27,25191.17,25174.81,25175.33
1779692700,25176.95,25196.52,25162.25,25192.29
1779693000,25191.84,25192.66,25138.02,25142.21
1779693300,25142.0,25142.57,25062.72,25090.26
1779693600,25090.84,25132.75,25082.26,25131.87
1779693900,25131.94,25152.4,25130.28,25143.11
1779694200,25143.0,25210.33,25139.88,25170.4
1779694500,25170.53,25177.59,25144.66,25146.99
1779694800,25146.7,25155.58,25139.69,25152.82
1779695100,25152.91,25164.21,25141.29,25154.02
1779695400,25152.89,25164.33,25150.25,25163.63
1779695700,25164.76,25177.87,25163.84,25176.03
1779696000,25177.75,25177.83,25150.36,25155.23
1779696300,25155.07,25159.05,25146.79,25156.01
1779696600,25156.2,25175.22,25156.2,25172.7
1779696900,25172.94,25175.69,25164.16,25174.65
1779697200,25177.47,25187.6,25174.7,25179.07
1779697500,25179.24,25193.17,25177.51,25189.7
1779697800,25189.95,25189.95,25180.82,25183.29
1779698100,25183.49,25196.08,25183.49,25188.25
1779698400,25188.08,25191.73,25185.72,25189.63
1779698700,25189.52,25197.57,25188.75,25196.67
1779699000,25197.15,25198.73,25184.66,25184.86
1779699300,25184.75,25186.68,25178.59,25183.66
1779699600,25183.6,25190.05,25180.12,25187.59
1779699900,25187.51,25194.22,25187.2,25191.38
1779700200,25191.49,25199.83,25190.97,25196.43
1779700500,25197.5,25211.31,25196.85,25205.24
1779700800,25205.79,25208.41,25197.33,25197.78
1779701100,25197.97,25212.61,25197.41,25210.04
1779701400,25210.02,25231.9,25208.55,25228.76
